epoch,grp_spar,ovall_spar,spar_groups,penalty_groups
138.0,0.3912,0.5011,1452.0,1982.0
139.0,0.3928,0.5011,1458.0,1982.0
140.0,0.3944,0.5012,1464.0,1982.0
141.0,0.3966,0.5013,1472.0,1982.0
142.0,0.3966,0.5016,1472.0,1982.0
143.0,0.396,0.5015,1470.0,1982.0
144.0,0.3974,0.502,1475.0,1982.0
145.0,0.3976,0.5017,1476.0,1982.0
146.0,0.3987,0.5019,1480.0,1982.0
147.0,0.3982,0.5019,1478.0,1982.0
148.0,0.3984,0.5017,1479.0,1982.0
149.0,0.3984,0.5016,1479.0,1982.0
150.0,0.3984,0.5016,1479.0,1982.0
151.0,0.3976,0.5017,1476.0,1984.0
152.0,0.4001,0.5018,1485.0,1986.0
153.0,0.4001,0.5018,1485.0,1986.0
154.0,0.3998,0.5015,1484.0,1986.0
155.0,0.4009,0.5018,1488.0,1986.0
156.0,0.4006,0.502,1487.0,1986.0
157.0,0.4025,0.5022,1494.0,1986.0
158.0,0.4014,0.5021,1490.0,1986.0
159.0,0.4014,0.5023,1490.0,1986.0
160.0,0.4009,0.5023,1488.0,1986.0
161.0,0.4019,0.5024,1492.0,1986.0
162.0,0.4017,0.5024,1491.0,1986.0
163.0,0.4038,0.5025,1499.0,1986.0
164.0,0.4027,0.5024,1495.0,1986.0
165.0,0.4022,0.5027,1493.0,1986.0
166.0,0.403,0.5027,1496.0,1986.0
167.0,0.4019,0.5026,1492.0,1986.0
168.0,0.4027,0.5028,1495.0,1988.0
169.0,0.4033,0.5026,1497.0,1988.0
170.0,0.4025,0.5026,1494.0,1988.0
171.0,0.4033,0.5027,1497.0,1988.0
172.0,0.4022,0.5027,1493.0,1988.0
173.0,0.4027,0.5028,1495.0,1988.0
174.0,0.4033,0.5028,1497.0,1988.0
175.0,0.4027,0.5028,1495.0,1990.0
176.0,0.4033,0.5028,1497.0,1990.0
177.0,0.4052,0.5028,1504.0,1990.0
178.0,0.4046,0.5029,1502.0,1990.0
179.0,0.4044,0.5029,1501.0,1992.0
180.0,0.4057,0.5029,1506.0,1992.0
181.0,0.4052,0.5029,1504.0,1992.0
182.0,0.4049,0.503,1503.0,1992.0
183.0,0.4044,0.5029,1501.0,1992.0
184.0,0.4044,0.5029,1501.0,1992.0
185.0,0.4073,0.5033,1512.0,1993.0
186.0,0.4044,0.5032,1501.0,1993.0
187.0,0.4044,0.5029,1501.0,1994.0
188.0,0.4046,0.5031,1502.0,1994.0
189.0,0.4052,0.5029,1504.0,1994.0
190.0,0.4046,0.5033,1502.0,1995.0
191.0,0.4038,0.5029,1499.0,1995.0
192.0,0.4057,0.5032,1506.0,1995.0
193.0,0.4046,0.503,1502.0,1995.0
194.0,0.406,0.5033,1507.0,1995.0
195.0,0.4044,0.5034,1501.0,1995.0
196.0,0.4038,0.5033,1499.0,1995.0
197.0,0.4046,0.5032,1502.0,1996.0
198.0,0.406,0.5032,1507.0,1997.0
199.0,0.4044,0.5031,1501.0,1997.0
200.0,0.4041,0.5034,1500.0,1998.0
