epoch,grp_spar,ovall_spar,spar_groups,penalty_groups
120.0,0.3489,0.4855,1295.0,1994.0
121.0,0.3502,0.4863,1300.0,1994.0
122.0,0.3534,0.4871,1312.0,1994.0
123.0,0.3534,0.4875,1312.0,1994.0
124.0,0.3548,0.4882,1317.0,1994.0
125.0,0.3564,0.4885,1323.0,1994.0
126.0,0.3575,0.4888,1327.0,1994.0
127.0,0.3586,0.4894,1331.0,1994.0
128.0,0.3591,0.4896,1333.0,1994.0
129.0,0.3583,0.4898,1330.0,1994.0
130.0,0.3602,0.49,1337.0,1994.0
131.0,0.3623,0.4905,1345.0,1994.0
132.0,0.3629,0.4907,1347.0,1994.0
133.0,0.3631,0.4909,1348.0,1994.0
134.0,0.3623,0.4907,1345.0,1994.0
135.0,0.3621,0.4908,1344.0,1994.0
136.0,0.3631,0.4912,1348.0,1994.0
137.0,0.3623,0.4914,1345.0,1994.0
138.0,0.3618,0.4914,1343.0,1994.0
139.0,0.3626,0.4914,1346.0,1994.0
140.0,0.3634,0.4912,1349.0,1994.0
141.0,0.365,0.4916,1355.0,1994.0
142.0,0.364,0.4918,1351.0,1994.0
143.0,0.3642,0.4917,1352.0,1994.0
144.0,0.3642,0.4918,1352.0,1994.0
145.0,0.3648,0.4919,1354.0,1994.0
146.0,0.3661,0.4922,1359.0,1994.0
147.0,0.3656,0.4922,1357.0,1994.0
148.0,0.3642,0.4921,1352.0,1994.0
149.0,0.3666,0.4923,1361.0,1994.0
150.0,0.3637,0.4919,1350.0,1994.0
151.0,0.3642,0.4923,1352.0,1994.0
152.0,0.364,0.4921,1351.0,1994.0
153.0,0.3645,0.4922,1353.0,1994.0
154.0,0.3642,0.4922,1352.0,1994.0
155.0,0.3648,0.4921,1354.0,1994.0
156.0,0.3645,0.492,1353.0,1994.0
157.0,0.3648,0.4919,1354.0,1994.0
158.0,0.365,0.4923,1355.0,1994.0
159.0,0.3653,0.4921,1356.0,1994.0
160.0,0.3653,0.4919,1356.0,1994.0
161.0,0.3648,0.4923,1354.0,1994.0
162.0,0.3653,0.4922,1356.0,1994.0
163.0,0.3653,0.4923,1356.0,1994.0
164.0,0.3656,0.4924,1357.0,1994.0
165.0,0.3658,0.4924,1358.0,1994.0
166.0,0.3645,0.4924,1353.0,1994.0
167.0,0.365,0.4927,1355.0,1994.0
168.0,0.3648,0.4927,1354.0,1994.0
169.0,0.3658,0.4927,1358.0,1994.0
170.0,0.3664,0.4927,1360.0,1994.0
171.0,0.3658,0.4929,1358.0,1994.0
172.0,0.3658,0.4929,1358.0,1994.0
173.0,0.3656,0.4931,1357.0,1994.0
174.0,0.3669,0.493,1362.0,1994.0
175.0,0.3656,0.4928,1357.0,1994.0
176.0,0.3661,0.4927,1359.0,1994.0
177.0,0.3664,0.4929,1360.0,1994.0
178.0,0.3656,0.4933,1357.0,1994.0
179.0,0.3656,0.4929,1357.0,1994.0
180.0,0.3656,0.4923,1357.0,1994.0
181.0,0.3658,0.4931,1358.0,1994.0
182.0,0.3664,0.4928,1360.0,1994.0
183.0,0.3669,0.493,1362.0,1994.0
184.0,0.3658,0.4928,1358.0,1994.0
185.0,0.3661,0.4931,1359.0,1994.0
186.0,0.3664,0.493,1360.0,1994.0
187.0,0.3664,0.493,1360.0,1994.0
188.0,0.3666,0.4931,1361.0,1994.0
189.0,0.3666,0.4927,1361.0,1994.0
190.0,0.3664,0.4927,1360.0,1994.0
191.0,0.3666,0.4929,1361.0,1994.0
192.0,0.3677,0.4931,1365.0,1994.0
193.0,0.3669,0.493,1362.0,1994.0
194.0,0.368,0.4933,1366.0,1994.0
195.0,0.3664,0.4929,1360.0,1994.0
196.0,0.3666,0.4931,1361.0,1994.0
197.0,0.3666,0.4932,1361.0,1994.0
198.0,0.3672,0.4932,1363.0,1994.0
199.0,0.3677,0.4933,1365.0,1994.0
200.0,0.3675,0.4933,1364.0,1994.0
