epoch,grp_spar,ovall_spar,spar_groups,penalty_groups
137.0,0.3618,0.4918,1343.0,2003.0
138.0,0.3626,0.4917,1346.0,2003.0
139.0,0.3623,0.4911,1345.0,2003.0
140.0,0.3618,0.4918,1343.0,2003.0
141.0,0.3623,0.4911,1345.0,2003.0
142.0,0.3626,0.4913,1346.0,2003.0
143.0,0.3626,0.4921,1346.0,2003.0
144.0,0.3613,0.4915,1341.0,2003.0
145.0,0.3618,0.4916,1343.0,2003.0
146.0,0.3618,0.4921,1343.0,2003.0
147.0,0.3623,0.4921,1345.0,2003.0
148.0,0.3615,0.4919,1342.0,2003.0
149.0,0.3629,0.4919,1347.0,2003.0
150.0,0.3634,0.492,1349.0,2003.0
151.0,0.3626,0.492,1346.0,2003.0
152.0,0.3623,0.4917,1345.0,2003.0
153.0,0.3618,0.4923,1343.0,2003.0
154.0,0.3615,0.492,1342.0,2003.0
155.0,0.3623,0.4913,1345.0,2003.0
156.0,0.3621,0.4921,1344.0,2003.0
157.0,0.3621,0.4915,1344.0,2003.0
158.0,0.3629,0.4915,1347.0,2003.0
159.0,0.3626,0.4912,1346.0,2003.0
160.0,0.3626,0.4919,1346.0,2003.0
161.0,0.3629,0.4934,1347.0,2003.0
162.0,0.3637,0.4935,1350.0,2003.0
163.0,0.3631,0.4941,1348.0,2003.0
164.0,0.3634,0.4938,1349.0,2003.0
165.0,0.3631,0.494,1348.0,2003.0
166.0,0.3631,0.494,1348.0,2003.0
167.0,0.3631,0.4938,1348.0,2003.0
168.0,0.3629,0.4935,1347.0,2003.0
169.0,0.3642,0.4942,1352.0,2003.0
170.0,0.3631,0.4941,1348.0,2003.0
171.0,0.3631,0.4941,1348.0,2003.0
172.0,0.3629,0.4938,1347.0,2003.0
173.0,0.3629,0.4935,1347.0,2003.0
174.0,0.3631,0.4941,1348.0,2003.0
175.0,0.3631,0.4942,1348.0,2003.0
176.0,0.3631,0.4941,1348.0,2003.0
177.0,0.3634,0.4943,1349.0,2003.0
178.0,0.3634,0.494,1349.0,2003.0
179.0,0.3634,0.4938,1349.0,2003.0
180.0,0.3629,0.4941,1347.0,2003.0
181.0,0.3629,0.4938,1347.0,2003.0
182.0,0.3634,0.4942,1349.0,2003.0
183.0,0.3631,0.4938,1348.0,2003.0
184.0,0.3634,0.4943,1349.0,2003.0
185.0,0.3631,0.4941,1348.0,2003.0
186.0,0.3637,0.4941,1350.0,2003.0
187.0,0.3634,0.4943,1349.0,2003.0
188.0,0.3631,0.4936,1348.0,2003.0
189.0,0.3629,0.4937,1347.0,2003.0
190.0,0.3626,0.4938,1346.0,2003.0
191.0,0.3626,0.4939,1346.0,2003.0
192.0,0.3634,0.4941,1349.0,2003.0
193.0,0.3637,0.4948,1350.0,2003.0
194.0,0.3634,0.494,1349.0,2003.0
195.0,0.3631,0.4941,1348.0,2003.0
196.0,0.3631,0.4942,1348.0,2003.0
197.0,0.3631,0.4944,1348.0,2003.0
198.0,0.3629,0.4943,1347.0,2003.0
199.0,0.3629,0.494,1347.0,2003.0
200.0,0.3634,0.4938,1349.0,2003.0
