epoch,grp_spar,ovall_spar,spar_groups,penalty_groups
142.0,0.2769,0.3575,1028.0,1232.0
143.0,0.2772,0.3577,1029.0,1232.0
144.0,0.2777,0.358,1031.0,1232.0
145.0,0.2775,0.3579,1030.0,1232.0
146.0,0.2786,0.3581,1034.0,1233.0
147.0,0.2791,0.3582,1036.0,1233.0
148.0,0.2791,0.3583,1036.0,1233.0
149.0,0.2786,0.3582,1034.0,1233.0
150.0,0.2791,0.3582,1036.0,1233.0
151.0,0.2791,0.3582,1036.0,1233.0
152.0,0.2799,0.3585,1039.0,1233.0
153.0,0.2804,0.3585,1041.0,1235.0
154.0,0.2807,0.3586,1042.0,1235.0
155.0,0.2807,0.3589,1042.0,1235.0
156.0,0.2807,0.359,1042.0,1235.0
157.0,0.2807,0.3591,1042.0,1235.0
158.0,0.2804,0.3591,1041.0,1235.0
159.0,0.2804,0.3593,1041.0,1235.0
160.0,0.281,0.3593,1043.0,1235.0
161.0,0.2812,0.3593,1044.0,1236.0
162.0,0.2812,0.3595,1044.0,1236.0
163.0,0.2812,0.3595,1044.0,1236.0
164.0,0.281,0.3594,1043.0,1238.0
165.0,0.2812,0.3595,1044.0,1238.0
166.0,0.2812,0.3594,1044.0,1238.0
167.0,0.2812,0.3596,1044.0,1238.0
168.0,0.2815,0.3596,1045.0,1238.0
169.0,0.2812,0.3596,1044.0,1238.0
170.0,0.2812,0.3597,1044.0,1239.0
171.0,0.2812,0.3597,1044.0,1239.0
172.0,0.2815,0.3598,1045.0,1239.0
173.0,0.2815,0.3597,1045.0,1239.0
174.0,0.2815,0.3598,1045.0,1239.0
175.0,0.2818,0.3599,1046.0,1239.0
176.0,0.2815,0.3598,1045.0,1239.0
177.0,0.2818,0.3599,1046.0,1239.0
178.0,0.2821,0.36,1047.0,1239.0
179.0,0.2812,0.3599,1044.0,1239.0
180.0,0.2815,0.36,1045.0,1239.0
181.0,0.2818,0.3601,1046.0,1239.0
182.0,0.2815,0.3602,1045.0,1239.0
183.0,0.2812,0.3602,1044.0,1239.0
184.0,0.2812,0.3601,1044.0,1239.0
185.0,0.2818,0.3605,1046.0,1239.0
186.0,0.2818,0.3605,1046.0,1239.0
187.0,0.2821,0.3604,1047.0,1239.0
188.0,0.2818,0.3604,1046.0,1239.0
189.0,0.2823,0.3605,1048.0,1240.0
190.0,0.2818,0.3605,1046.0,1240.0
191.0,0.2826,0.3606,1049.0,1240.0
192.0,0.2818,0.3607,1046.0,1240.0
193.0,0.2821,0.3608,1047.0,1240.0
194.0,0.2823,0.3609,1048.0,1241.0
195.0,0.2829,0.3606,1050.0,1241.0
196.0,0.2826,0.3607,1049.0,1242.0
197.0,0.2826,0.3607,1049.0,1242.0
198.0,0.2829,0.3607,1050.0,1242.0
